Date,Price,Open,High,Low,Vol.,Change %
01-01-2014,866.1,867.0,869.9,863.0,2430.0,0.8
02-01-2014,875.2,869.9,880.5,862.6,20390.0,1.05
03-01-2014,865.1,873.1,875.0,863.5,13910.0,-1.15
04-01-2014,865.1,865.1,865.1,865.1,0.0,0.0
06-01-2014,851.1,867.5,869.3,847.1,20670.0,-1.62
07-01-2014,842.9,852.0,853.6,840.2,18060.0,-0.96
08-01-2014,838.6,843.7,847.0,837.7,14940.0,-0.51
09-01-2014,832.2,838.0,840.4,830.4,13010.0,-0.76
10-01-2014,851.4,833.1,852.5,831.1,23690.0,2.31
13-01-2014,874.9,852.2,875.8,852.2,23920.0,2.76
14-01-2014,882.0,878.0,885.5,877.3,10130.0,0.81
15-01-2014,893.2,879.7,898.0,873.3,19650.0,1.27
16-01-2014,897.3,896.9,903.8,887.0,20010.0,0.46
17-01-2014,898.2,898.0,906.8,889.7,20740.0,0.1
20-01-2014,895.0,895.5,896.7,881.8,20920.0,-0.36
21-01-2014,912.2,892.1,912.7,888.2,21600.0,1.92
22-01-2014,912.3,912.8,914.5,905.7,16450.0,0.01
23-01-2014,905.4,910.2,914.5,892.3,24370.0,-0.76
24-01-2014,906.6,907.4,913.6,900.3,20750.0,0.13
27-01-2014,894.1,902.0,907.5,892.4,17070.0,-1.38
28-01-2014,886.1,898.2,898.2,882.0,13580.0,-0.89
29-01-2014,876.6,884.5,888.6,875.5,15570.0,-1.07
30-01-2014,859.3,875.2,877.9,858.0,11120.0,-1.97
31-01-2014,854.2,859.4,860.1,853.5,5490.0,-0.59
03-02-2014,870.8,876.2,887.9,867.6,13150.0,1.94
04-02-2014,864.4,870.3,877.5,861.7,15790.0,-0.73
05-02-2014,864.6,867.9,876.8,862.8,15690.0,0.02
06-02-2014,869.2,866.8,877.1,863.0,19260.0,0.53
07-02-2014,878.9,870.1,883.8,870.0,16680.0,1.12
10-02-2014,883.6,881.2,894.7,881.2,17520.0,0.53
11-02-2014,879.4,882.0,886.7,875.1,17860.0,-0.48
12-02-2014,889.7,882.4,894.7,882.4,21710.0,1.17
13-02-2014,881.8,891.0,897.6,878.2,21960.0,-0.89
14-02-2014,880.8,883.1,886.8,879.5,14030.0,-0.11
17-02-2014,887.9,885.9,893.8,885.6,12880.0,0.81
18-02-2014,899.1,890.0,903.9,886.1,21870.0,1.26
19-02-2014,901.5,902.2,910.8,899.7,16460.0,0.27
20-02-2014,890.9,900.5,900.5,890.1,12490.0,-1.18
21-02-2014,888.5,892.1,897.9,888.1,13250.0,-0.27
24-02-2014,888.8,888.0,890.0,878.2,12710.0,0.03
25-02-2014,882.8,889.7,890.8,878.5,12580.0,-0.68
26-02-2014,884.5,883.9,891.3,881.7,12420.0,0.19
27-02-2014,893.2,883.3,894.8,879.0,7930.0,0.98
28-02-2014,905.4,893.5,917.9,892.0,8130.000000000001,1.37
03-03-2014,916.2,907.1,917.0,903.1,23800.0,1.19
04-03-2014,938.6,913.8,942.2,910.6,29780.0,2.44
05-03-2014,934.0,937.0,949.5,932.5,24160.0,-0.49
06-03-2014,947.0,932.4,952.4,927.1,29100.0,1.39
07-03-2014,936.5,945.3,950.8,932.2,32980.0,-1.11
10-03-2014,945.3,934.0,946.7,910.5,37570.0,0.94
11-03-2014,946.6,947.1,961.7,942.5,32980.0,0.14
12-03-2014,955.3,946.0,963.4,939.3,35560.0,0.92
13-03-2014,969.8,952.6,971.5,952.1,24110.0,1.52
14-03-2014,966.6,967.9,978.6,963.7,28620.0,-0.33
17-03-2014,972.8,975.8,976.9,966.8,9950.0,0.64
18-03-2014,989.9,974.0,990.8,974.0,21990.0,1.76
19-03-2014,994.1,991.0,997.9,975.2,32840.0,0.42
20-03-2014,966.7,991.3,993.3,961.1,35230.0,-2.76
21-03-2014,978.2,968.9,981.5,967.4,22270.0,1.19
24-03-2014,977.5,974.0,984.7,966.8,21430.0,-0.07
25-03-2014,969.5,982.7,988.0,967.9,23170.0,-0.82
26-03-2014,953.3,967.0,974.5,945.1,24250.0,-1.67
27-03-2014,945.9,955.9,956.4,943.5,14160.0,-0.78
28-03-2014,944.1,947.0,954.9,941.0,16560.0,-0.19
31-03-2014,945.6,946.0,954.7,943.7,7240.0,0.16
01-04-2014,963.5,956.1,965.1,947.5,18730.0,1.89
02-04-2014,971.5,963.5,977.9,958.6,17490.0,0.83
03-04-2014,986.1,970.0,987.0,969.6,16050.0,1.5
04-04-2014,984.0,987.9,1001.7,979.2,25250.0,-0.21
05-04-2014,984.5,984.5,984.5,984.5,0.0,0.05
07-04-2014,998.0,982.4,999.7,982.4,21170.0,1.37
08-04-2014,990.3,994.0,994.1,982.6,13250.0,-0.77
09-04-2014,1008.4,991.2,1009.3,987.4,26360.0,1.83
10-04-2014,1034.8,1010.0,1037.7,1010.0,34760.0,2.62
11-04-2014,1055.9,1037.9,1057.0,1035.3,36870.0,2.04
14-04-2014,1075.9,1055.0,1086.9,1055.0,15520.0,1.89
15-04-2014,1072.7,1070.3,1074.5,1033.7,55960.0,-0.3
16-04-2014,1079.1,1066.1,1092.5,1041.0,50340.0,0.6
17-04-2014,1083.3,1081.5,1090.5,1071.5,33490.0,0.39
21-04-2014,1087.6,1080.0,1090.0,1074.0,12050.0,0.4
22-04-2014,1115.1,1092.0,1116.1,1092.0,27350.0,2.53
23-04-2014,1125.6,1116.2,1129.8,1098.0,49490.0,0.94
