Date,Open,High,Low,Close,Adj Close,Volume
"Sep 01, 2022",3936.73,4119.28,3610.4,3640.47,3640.47,88667050000
"Aug 01, 2022",4112.38,4325.28,3954.53,3955.0,3955.0,78088520000
"Jul 01, 2022",3781.0,4140.15,3721.56,4130.29,4130.29,68021140000
"Jun 01, 2022",4149.78,4177.51,3636.87,3785.38,3785.38,86799060000
"May 01, 2022",4130.61,4307.66,3810.32,4132.15,4132.15,89128130000
"Apr 01, 2022",4540.32,4593.45,4124.28,4131.93,4131.93,74784850000
"Mar 01, 2022",4363.14,4637.3,4157.87,4530.41,4530.41,100978320000
"Feb 01, 2022",4519.57,4595.31,4114.65,4373.94,4373.94,73167790000
"Jan 01, 2022",4778.14,4818.62,4222.62,4515.55,4515.55,73279440000
"Dec 01, 2021",4602.82,4808.93,4495.12,4766.18,4766.18,68699830000
"Nov 01, 2021",4610.62,4743.83,4560.0,4567.0,4567.0,67520800000
"Oct 01, 2021",4317.16,4608.08,4278.94,4605.38,4605.38,61874700000
"Sep 01, 2021",4528.8,4545.85,4305.91,4307.54,4307.54,66268850000
"Aug 01, 2021",4406.86,4537.36,4367.73,4522.68,4522.68,63217960000
"Jul 01, 2021",4300.73,4429.97,4233.13,4395.26,4395.26,66496430000
"Jun 01, 2021",4216.52,4302.43,4164.4,4297.5,4297.5,85705180000
"May 01, 2021",4191.98,4238.04,4056.88,4204.11,4204.11,75155370000
"Apr 01, 2021",3992.78,4218.78,3992.78,4181.17,4181.17,82869290000
"Mar 01, 2021",3842.51,3994.41,3723.34,3972.89,3972.89,120863560000
"Feb 01, 2021",3731.17,3950.43,3725.62,3811.15,3811.15,98596960000
"Jan 01, 2021",3764.61,3870.9,3662.71,3714.24,3714.24,105548790000
"Dec 01, 2020",3645.87,3760.2,3633.4,3756.07,3756.07,96056410000
"Nov 01, 2020",3296.2,3645.99,3279.74,3621.63,3621.63,100977880000
"Oct 01, 2020",3385.87,3549.85,3233.94,3269.96,3269.96,89737600000
"Sep 01, 2020",3507.44,3588.11,3209.45,3363.0,3363.0,92084120000
"Aug 01, 2020",3288.26,3514.77,3284.53,3500.31,3500.31,84402300000
"Jul 01, 2020",3105.92,3279.99,3101.17,3271.12,3271.12,97197020000
"Jun 01, 2020",3038.78,3233.13,2965.66,3100.29,3100.29,131044000000
"May 01, 2020",2869.09,3068.67,2766.64,3044.31,3044.31,106799100000
"Apr 01, 2020",2498.08,2954.86,2447.49,2912.43,2912.43,123163450000
"Mar 01, 2020",2974.28,3136.72,2191.86,2584.59,2584.59,161801100000
"Feb 01, 2020",3235.66,3393.52,2855.84,2954.22,2954.22,84292270000
"Jan 01, 2020",3244.67,3337.77,3214.64,3225.52,3225.52,77104420000
"Dec 01, 2019",3143.85,3247.93,3070.33,3230.78,3230.78,72054000000
"Nov 01, 2019",3050.72,3154.26,3050.72,3140.98,3140.98,72179920000
"Oct 01, 2019",2983.69,3050.1,2855.94,3037.56,3037.56,77564550000
"Sep 01, 2019",2909.01,3021.99,2891.85,2976.74,2976.74,73992330000
"Aug 01, 2019",2980.32,3013.59,2822.12,2926.46,2926.46,79599440000
"Jul 01, 2019",2971.41,3027.98,2952.22,2980.38,2980.38,70349470000
"Jun 01, 2019",2751.53,2964.15,2728.81,2941.76,2941.76,70904280000
"May 01, 2019",2952.33,2954.13,2750.52,2752.06,2752.06,76860120000
"Apr 01, 2019",2848.63,2949.52,2848.63,2945.83,2945.83,69604840000
"Mar 01, 2019",2798.22,2860.31,2722.27,2834.4,2834.4,78596280000
"Feb 01, 2019",2702.32,2813.49,2681.83,2784.49,2784.49,70183430000
"Jan 01, 2019",2476.96,2708.95,2443.96,2704.1,2704.1,80401630000
"Dec 01, 2018",2790.5,2800.18,2346.58,2506.85,2506.85,83522570000
"Nov 01, 2018",2717.58,2815.15,2631.09,2760.17,2760.17,80080110000
"Oct 01, 2018",2926.29,2939.86,2603.54,2711.74,2711.74,91327930000
"Sep 01, 2018",2896.96,2940.91,2864.12,2913.98,2913.98,62492080000
"Aug 01, 2018",2821.17,2916.5,2796.34,2901.52,2901.52,69238220000
"Jul 01, 2018",2704.95,2848.03,2698.95,2816.29,2816.29,64542170000
"Jun 01, 2018",2718.7,2791.47,2691.99,2718.37,2718.37,77439710000
"May 01, 2018",2642.96,2742.24,2594.62,2705.27,2705.27,75617280000
"Apr 01, 2018",2633.45,2717.49,2553.8,2648.05,2648.05,69648590000
"Mar 01, 2018",2715.22,2801.9,2585.89,2640.87,2640.87,76369800000
"Feb 01, 2018",2816.45,2835.96,2532.69,2713.83,2713.83,79579410000
"Jan 01, 2018",2683.73,2872.87,2682.36,2823.81,2823.81,76860120000
"Dec 01, 2017",2645.1,2694.97,2605.52,2673.61,2673.61,65251190000
"Nov 01, 2017",2583.21,2657.74,2557.45,2647.58,2647.58,73173260000
"Oct 01, 2017",2521.2,2582.98,2520.4,2575.26,2575.26,70871570000
"Sep 01, 2017",2474.42,2519.44,2446.55,2519.36,2519.36,66337980000
"Aug 01, 2017",2477.1,2490.87,2417.35,2471.65,2471.65,70616030000
"Jul 01, 2017",2431.39,2484.04,2407.7,2470.3,2470.3,63169400000
"Jun 01, 2017",2415.65,2453.82,2405.7,2423.41,2423.41,81002490000
"May 01, 2017",2388.5,2418.71,2352.72,2411.8,2411.8,79607170000
"Apr 01, 2017",2362.34,2398.16,2328.95,2384.2,2384.2,65265670000
"Mar 01, 2017",2380.13,2400.98,2322.25,2362.72,2362.72,81547770000
"Feb 01, 2017",2285.59,2371.54,2271.65,2363.64,2363.64,69162420000
"Jan 01, 2017",2251.57,2300.99,2245.13,2278.87,2278.87,70483180000
"Dec 01, 2016",2200.17,2277.53,2187.44,2238.83,2238.83,75251240000
"Nov 01, 2016",2128.68,2214.1,2083.79,2198.81,2198.81,88299760000
"Oct 01, 2016",2164.33,2169.6,2114.72,2126.15,2126.15,73196630000
"Sep 01, 2016",2171.33,2187.87,2119.12,2168.27,2168.27,77270240000
"Aug 01, 2016",2173.15,2193.81,2147.58,2170.95,2170.95,75610310000
"Jul 01, 2016",2099.34,2177.09,2074.02,2173.6,2173.6,69530250000
"Jun 01, 2016",2093.94,2120.55,1991.68,2098.86,2098.86,86852700000
"May 01, 2016",2067.17,2103.48,2025.91,2096.95,2096.95,78883600000
"Apr 01, 2016",2056.62,2111.05,2033.8,2065.3,2065.3,81124990000
"Mar 01, 2016",1937.09,2072.21,1937.09,2059.74,2059.74,92639420000
