Date,Price,Open,High,Low
2012-01-02,28.683,27.98,29.74,27.905
2012-01-08,29.522,28.77,30.675,28.55
2012-01-15,31.675,29.67,32.21,29.455
2012-01-22,33.79,32.105,33.965,31.525
2012-01-29,33.749,33.85,34.41,32.93
2012-02-05,33.604,33.665,34.52,32.985
2012-02-12,33.216,33.665,34.035,32.64
2012-02-19,35.338,33.33,35.72,33.325
2012-02-26,34.525,35.43,37.58,33.825
2012-03-04,34.212,34.71,34.95,32.49
2012-03-11,32.604,34.29,34.41,31.625
2012-03-18,32.272,32.575,33.09,31.09
2012-03-25,32.484,32.255,33.19,31.63
2012-04-01,31.73,32.355,33.295,30.98
2012-04-08,31.39,31.9,32.58,31.11
2012-04-15,31.651,31.445,32.015,31.175
2012-04-22,31.411,31.64,31.685,29.925
2012-04-29,30.432,31.33,31.445,29.78
2012-05-06,28.89,30.31,30.39,28.415
2012-05-13,28.715,28.88,29.0,26.73
2012-05-20,28.386,28.685,28.855,27.08
2012-05-27,28.512,28.595,28.76,27.17
2012-06-03,28.471,28.68,29.865,27.91
2012-06-10,28.74,28.74,29.095,28.15
2012-06-17,26.661,28.99,29.01,26.51
2012-06-24,27.612,26.82,27.915,26.105
2012-07-01,26.92,27.5,28.445,26.905
2012-07-08,27.369,27.035,27.58,26.425
2012-07-15,27.302,27.4,27.595,26.72
2012-07-22,27.498,27.2,27.85,26.575
2012-07-29,27.801,27.685,28.335,26.88
2012-08-05,28.062,27.77,28.315,27.53
2012-08-12,28.002,28.09,28.29,27.43
2012-08-19,30.621,28.055,30.79,27.875
2012-08-26,31.442,30.77,31.815,30.265
2012-09-02,33.69,31.735,33.775,31.575
2012-09-09,34.656,33.71,34.985,32.51
2012-09-16,34.638,34.625,35.26,33.845
2012-09-23,34.577,34.52,34.925,33.36
2012-09-30,34.572,34.53,35.445,34.21
2012-10-07,33.669,34.57,34.605,33.45
2012-10-14,32.097,33.455,33.47,31.945
2012-10-21,32.036,31.99,32.5,31.535
2012-10-28,30.857,32.115,32.695,30.815
2012-11-04,32.599,30.89,32.785,30.655
2012-11-11,32.37,32.65,32.93,32.015
2012-11-18,34.116,32.285,34.16,32.285
2012-11-25,33.279,34.075,34.49,32.9
2012-12-02,33.131,33.495,33.93,32.585
2012-12-09,32.299,33.125,33.875,32.245
2012-12-16,30.203,32.4,32.6,29.635
2012-12-23,29.975,30.02,30.53,29.715
2012-12-30,29.946,30.08,31.535,29.24
2013-01-06,30.408,30.235,30.95,29.86
2013-01-13,31.932,30.42,32.14,30.38
2013-01-20,31.206,31.925,32.485,31.125
2013-01-27,31.958,31.16,32.3,30.745
2013-02-03,31.441,31.875,32.115,31.295
2013-02-10,29.849,31.45,31.535,29.66
2013-02-17,28.46,29.81,30.15,28.255
2013-02-24,28.49,28.785,29.44,27.925
2013-03-03,28.948,28.68,29.26,28.325
2013-03-10,28.851,28.985,29.35,28.53
2013-03-17,28.698,28.85,29.325,28.4
2013-03-24,28.323,28.68,28.89,28.08
2013-03-31,27.22,28.21,28.36,26.575
2013-04-07,26.331,27.285,28.02,25.725
2013-04-14,22.96,25.94,26.045,22.0
2013-04-21,23.788,23.305,24.835,22.555
2013-04-28,24.014,24.025,24.58,23.21
2013-05-05,23.658,24.15,24.42,23.15
2013-05-12,22.352,23.78,23.84,22.06
2013-05-19,22.496,22.265,23.29,20.25
2013-05-26,22.243,22.36,23.06,22.1
2013-06-02,21.743,22.175,22.915,21.51
2013-06-09,21.954,21.565,22.5,21.33
2013-06-16,19.959,22.05,22.055,19.31
2013-06-23,19.47,20.055,20.175,18.17
2013-06-30,18.736,19.5,20.075,18.665
2013-07-07,19.792,18.855,20.25,18.67
2013-07-14,19.46,19.865,20.18,19.215
2013-07-21,19.771,19.495,20.595,19.495
2013-07-28,19.912,19.92,20.265,19.185
2013-08-04,20.407,19.85,20.58,19.1
2013-08-11,23.322,20.68,23.4,20.62
2013-08-18,23.738,23.25,24.11,22.28
2013-08-25,23.513,24.02,25.12,23.41
2013-09-01,23.891,23.48,24.53,23.04
2013-09-08,21.72,23.835,24.25,21.42
2013-09-15,21.927,22.3,23.445,21.225
2013-09-22,21.831,21.89,22.175,21.3
