Date,Price,Open,High,Low,Vol.,Change %
01-01-2014,28418,28400,28490,28390,2790.0,-0.01
02-01-2014,28968,28490,28995,28490,16490.0,1.94
03-01-2014,29159,29000,29242,28833,18990.0,0.66
04-01-2014,29159,29159,29159,29159,0.0,0.0
06-01-2014,28974,29213,29276,28890,19950.0,-0.63
07-01-2014,28834,29001,29060,28802,16950.0,-0.48
08-01-2014,28796,28766,28878,28671,15840.0,-0.13
09-01-2014,28862,28875,28912,28712,15040.0,0.23
10-01-2014,29033,28878,29070,28811,15420.0,0.59
13-01-2014,29212,29045,29232,29012,12750.0,0.62
14-01-2014,29096,29171,29314,29031,10370.0,-0.4
15-01-2014,29019,29023,29074,28865,13720.0,-0.26
16-01-2014,29034,29049,29141,28953,12560.0,0.05
17-01-2014,29265,29031,29310,28911,15060.0,0.8
20-01-2014,29288,29288,29390,29261,8700.0,0.08
21-01-2014,29241,29238,29298,29130,18600.0,-0.16
22-01-2014,29150,29208,29278,29121,12560.0,-0.31
23-01-2014,29355,29102,29389,28965,26690.0,0.7
24-01-2014,29519,29270,29675,29252,16340.0,0.56
27-01-2014,29798,29550,29849,29550,12880.0,0.95
28-01-2014,29521,29718,29718,29470,13380.0,-0.93
29-01-2014,29738,29450,29840,29346,17340.0,0.74
30-01-2014,29378,29789,29820,29353,14400.0,-1.21
31-01-2014,29462,29363,29584,29255,9710.0,0.29
03-02-2014,29845,29500,29885,29399,650.0,1.3
04-02-2014,29688,29701,29834,29600,340.0,-0.53
05-02-2014,31370,29796,31468,29748,270.0,5.67
06-02-2014,28650,28680,28940,28625,15790.0,-8.67
07-02-2014,28754,28730,28900,28683,16020.0,0.36
10-02-2014,28935,28850,29009,28825,13020.0,0.63
11-02-2014,29104,28980,29174,28980,16590.0,0.58
12-02-2014,29132,29070,29160,29006,12820.0,0.1
13-02-2014,29184,29120,29218,29062,12350.0,0.18
14-02-2014,29375,29230,29425,29230,12780.0,0.65
17-02-2014,30157,29445,30218,29384,21930.0,2.66
18-02-2014,30224,30035,30260,29974,19000.0,0.22
19-02-2014,30031,30132,30150,29752,19400.0,-0.64
20-02-2014,29882,29960,29980,29790,12590.0,-0.5
21-02-2014,29889,29865,29970,29772,9910.0,0.02
24-02-2014,30120,29881,30174,29881,11700.0,0.77
25-02-2014,30240,30035,30267,30035,12940.0,0.4
26-02-2014,30042,30240,30240,29883,18140.0,-0.65
27-02-2014,30089,30090,30185,30010,7610.0,0.16
