Date,Price,Open,High,Low,Vol.,Change %
01-01-2014,43876,43870,44034,43735,2300.0,0.1
02-01-2014,45348,44000,45500,44000,30700.0,3.35
03-01-2014,45475,45300,45729,45064,24570.0,0.28
04-01-2014,45475,45475,45475,45475,0.0,0.0
06-01-2014,45370,45421,45740,45033,27420.0,-0.23
07-01-2014,44526,45427,45575,44350,26850.0,-1.86
08-01-2014,43869,44340,44489,43600,28650.0,-1.48
09-01-2014,44124,44170,44254,43680,22530.0,0.58
10-01-2014,44824,44079,44912,43950,25730.0,1.59
13-01-2014,45118,44860,45190,44350,21640.0,0.66
14-01-2014,44941,45100,45600,44652,20320.0,-0.39
15-01-2014,44785,44666,44889,44314,17960.0,-0.35
16-01-2014,44545,44801,44931,44402,19100.0,-0.54
17-01-2014,45136,44560,45274,44380,22630.0,1.33
20-01-2014,45024,45084,45265,44955,11530.0,-0.25
21-01-2014,44480,44900,44918,44140,26520.0,-1.21
22-01-2014,44338,44558,44596,44200,14510.0,-0.32
23-01-2014,44910,44230,45180,44112,30120.0,1.29
24-01-2014,44691,44864,45649,44622,29320.0,-0.49
27-01-2014,45214,44880,45439,44810,20860.0,1.17
28-01-2014,44169,45025,45025,44127,24490.0,-2.31
29-01-2014,44405,44100,45074,43844,33440.0,0.53
30-01-2014,43220,44326,44450,43080,36370.0,-2.67
31-01-2014,43309,43269,44033,43185,28680.0,0.21
03-02-2014,43858,43250,44150,42928,25650.0,1.27
04-02-2014,43557,43717,43913,43405,22220.0,-0.69
05-02-2014,44392,43772,45223,43772,35400.0,1.92
06-02-2014,44413,44505,45020,44280,26240.0,0.05
07-02-2014,44369,44401,44700,44160,22080.0,-0.1
10-02-2014,44670,44544,45018,44487,18960.0,0.68
11-02-2014,44700,44780,44920,44411,23570.0,0.07
12-02-2014,44839,44558,44899,44523,14370.0,0.31
13-02-2014,44922,44775,44990,44618,15290.0,0.19
14-02-2014,46613,44999,46717,44999,32010.0,3.76
17-02-2014,47735,47492,47931,47050,29850.0,2.41
18-02-2014,48023,47499,48090,46932,33470.0,0.6
19-02-2014,47787,47900,48022,47381,23510.0,-0.49
