Date,Silver_Predicted,Silver_Actual
2021-01-13,26.0146,25.52
2021-01-14,26.2148,25.746
2021-01-15,25.824,24.825
2021-01-19,26.0646,25.279
2021-01-20,26.2182,25.734
2021-01-21,26.3225,25.822
2021-01-22,26.1137,25.524
2021-01-25,26.2232,25.455
2021-01-26,26.1658,25.529
2021-01-27,25.891,25.376
2021-01-28,26.03,25.909
2021-01-29,26.1209,26.9
2021-02-01,26.2539,29.398
2021-02-02,25.9695,26.384
2021-02-03,28.0617,26.878
2021-02-04,27.2922,26.223
2021-02-05,27.4393,27.014
2021-02-08,27.3428,27.57
2021-02-09,27.2843,27.396
2021-02-10,27.3177,27.074
2021-02-11,27.0822,27.042
2021-02-12,26.9078,27.323
2021-02-16,26.4842,27.319
2021-02-17,26.5025,27.314
2021-02-18,26.6542,27.077
2021-02-19,26.5739,27.252
2021-02-22,26.7483,28.083
2021-02-23,26.6168,27.686
2021-02-24,26.5016,27.857
2021-02-25,26.2502,27.637
2021-02-26,25.8856,26.402
2021-03-01,25.803,26.647
2021-03-02,25.7869,26.85
2021-03-03,25.4028,26.357
2021-03-04,25.1746,25.434
2021-03-05,25.4524,25.257
2021-03-08,25.085,25.24
2021-03-09,25.5661,26.148
2021-03-10,25.6685,26.102
2021-03-11,25.7531,26.162
2021-03-12,25.9013,25.88
2021-03-15,26.1621,26.253
2021-03-16,25.932,25.974
2021-03-17,25.7087,26.03
2021-03-18,25.6516,26.321
2021-03-19,25.7483,26.292
2021-03-22,25.6941,25.741
2021-03-23,25.4414,25.2
2021-03-24,25.5078,25.201
2021-03-25,25.4415,25.022
2021-03-26,25.7235,25.092
2021-03-29,25.1737,24.747
2021-03-30,24.825,24.121
2021-03-31,25.2895,24.517
2021-04-01,25.3665,24.935
2021-04-05,25.4098,24.763
2021-04-06,25.6341,25.212
2021-04-07,25.519,25.233
2021-04-08,25.8331,25.569
2021-04-09,25.5917,25.311
2021-04-12,25.4304,24.853
2021-04-13,25.6418,25.417
2021-04-14,25.5551,25.515
2021-04-15,25.9485,25.956
2021-04-16,25.9803,26.099
2021-04-19,25.9861,25.831
2021-04-20,26.0232,25.835
2021-04-21,26.1756,26.565
2021-04-22,25.874,26.174
2021-04-23,25.9604,26.077
2021-04-26,26.0352,26.211
2021-04-27,26.9628,26.412
2021-04-28,26.335,26.081
2021-04-29,26.1862,26.053
2021-04-30,26.2238,25.853
2021-05-03,26.6298,26.943
2021-05-04,26.4453,26.539
2021-05-05,26.3887,26.502
2021-05-06,26.7514,27.462
2021-05-07,27.2731,27.462
2021-05-10,27.3229,27.479
2021-05-11,27.3783,27.657
2021-05-12,27.2205,27.231
2021-05-13,27.2449,27.044
2021-05-14,27.0921,27.353
2021-05-17,27.6071,28.26
2021-05-18,27.6889,28.314
2021-05-19,27.4978,28.008
2021-05-20,27.5169,28.052
2021-05-21,27.2735,27.473
2021-05-24,27.4922,27.887
2021-05-25,27.4232,28.037
2021-05-26,27.552,27.853
2021-05-27,27.7847,27.919
2021-05-28,27.8698,27.993
2021-06-01,27.6513,28.083
2021-06-02,27.4985,28.186
2021-06-03,27.0367,27.46
2021-06-04,27.206,27.879
2021-06-07,27.3203,28.001
2021-06-08,27.3316,27.715
2021-06-09,27.362,27.985
2021-06-10,27.3058,28.015
2021-06-11,27.2509,28.131
2021-06-14,27.0843,28.024
2021-06-15,26.8485,27.679
2021-06-16,27.0955,27.8
2021-06-17,26.1298,25.844
2021-06-18,25.974,25.958
2021-06-21,26.1451,26.015
2021-06-22,26.2485,25.848
2021-06-23,26.364,26.108
2021-06-24,26.2645,26.047
2021-06-25,26.2106,26.082
2021-06-28,26.333,26.218
2021-06-29,26.37,25.872
2021-06-30,26.285,26.165
2021-07-01,26.3266,26.075
2021-07-02,26.4136,26.481
2021-07-06,26.4085,26.154
2021-07-07,26.4212,26.11
2021-07-08,26.1955,25.967
2021-07-09,26.2439,26.211
2021-07-12,26.0446,26.217
2021-07-13,26.2881,26.115
2021-07-14,26.4115,26.246
2021-07-15,25.6799,26.375
2021-07-16,25.5029,25.777
2021-07-19,25.5072,25.126
2021-07-20,25.4493,24.977
2021-07-21,25.183,25.238
2021-07-22,25.1599,25.365
2021-07-23,25.4609,25.218
2021-07-26,25.4583,25.295
2021-07-27,25.7053,24.632
2021-07-28,25.0146,24.856
2021-07-29,24.7194,25.764
2021-07-30,24.3327,25.528
2021-08-02,24.5093,25.557
2021-08-03,25.0966,25.566
2021-08-04,24.9309,25.446
2021-08-05,24.9722,25.277
2021-08-06,24.2844,24.312
2021-08-09,23.8591,23.255
2021-08-10,23.9967,23.377
2021-08-11,24.1542,23.474
2021-08-12,24.0119,23.105
2021-08-13,24.2352,23.768
2021-08-16,24.1558,23.78
2021-08-17,23.9846,23.648
2021-08-18,23.9352,23.412
2021-08-19,23.4449,23.22
2021-08-20,23.7924,23.105
2021-08-23,23.9531,23.649
2021-08-24,23.9271,23.89
2021-08-25,23.7577,23.771
2021-08-26,23.6047,23.546
2021-08-27,24.0596,24.06
2021-08-30,24.3165,23.96
2021-08-31,23.7228,23.96
2021-09-01,23.6494,24.177
2021-09-02,23.6336,23.875
2021-09-03,23.8495,24.762
2021-09-07,23.6477,24.334
2021-09-08,23.4525,24.012
2021-09-09,23.7265,24.133
2021-09-10,23.8459,23.855
2021-09-13,23.809,23.753
2021-09-14,23.6787,23.842
2021-09-15,23.542,23.759
2021-09-16,23.01,22.752
2021-09-17,22.9751,22.295
2021-09-20,22.8406,22.163
2021-09-21,23.0255,22.573
2021-09-22,23.2366,22.869
2021-09-23,22.8974,22.642
2021-09-24,22.9955,22.388
2021-09-27,22.9331,22.657
2021-09-28,22.8241,22.43
2021-09-29,22.6227,21.459
2021-09-30,22.5178,22.021
2021-10-01,22.7332,22.51
2021-10-04,22.9665,22.618
2021-10-05,22.657,22.582
2021-10-06,22.714,22.506
2021-10-07,22.9074,22.632
2021-10-08,23.0156,22.679
2021-10-11,23.2305,22.64
2021-10-12,23.1992,22.491
2021-10-13,23.9088,23.149
2021-10-14,24.088,23.456
2021-10-15,24.0546,23.328
2021-10-18,23.9297,23.243
2021-10-19,23.9357,23.862
2021-10-20,24.0719,24.424
2021-10-21,23.8429,24.15
2021-10-22,23.8459,24.429
2021-10-25,23.9011,24.572
2021-10-26,23.6864,24.086
2021-10-27,23.3938,24.189
2021-10-28,23.6454,24.117
2021-10-29,23.3642,23.945
2021-11-01,23.4937,24.064
2021-11-02,23.3514,23.5
2021-11-03,23.0339,23.226
2021-11-04,23.2599,23.906
2021-11-05,23.5635,24.152
2021-11-08,23.743,24.537
2021-11-09,23.7781,24.313
2021-11-10,23.6942,24.767
2021-11-11,23.8542,25.301
2021-11-12,24.0053,25.344
2021-11-15,23.9031,25.107
2021-11-16,23.7517,24.944
2021-11-17,23.6933,25.167
2021-11-18,23.7187,24.901
2021-11-19,23.8475,24.78
2021-11-22,23.501,24.297
2021-11-23,23.3668,23.435
2021-11-24,23.4159,23.496
2021-11-26,23.0514,23.107
2021-11-29,23.2109,22.799
2021-11-30,23.1404,22.765
2021-12-01,23.1364,22.299
2021-12-02,23.0048,22.28
2021-12-03,23.077,22.445
2021-12-06,23.0797,22.228
2021-12-07,23.1357,22.487
2021-12-08,23.2479,22.39
2021-12-09,23.0155,21.974
2021-12-10,23.0577,22.16
2021-12-13,23.1178,22.29
2021-12-14,22.94,21.887
2021-12-15,22.8983,21.508
2021-12-16,23.119,22.455
2021-12-17,23.1584,22.507
2021-12-20,23.0895,22.275
2021-12-21,23.1465,22.502
2021-12-22,23.2905,22.792
2021-12-23,23.3889,22.931
2021-12-27,23.5359,22.979
2021-12-28,23.4207,23.111
2021-12-29,23.306,22.848
2021-12-30,23.3049,23.028
2021-12-31,23.6449,23.328
2022-01-03,23.2498,22.79
2022-01-04,23.6929,23.038
2022-01-05,23.6751,23.15
2022-01-06,23.1455,22.174
2022-01-07,23.2726,22.394
2022-01-10,23.1908,22.446
2022-01-11,23.5017,22.806
2022-01-12,23.7981,23.2
2022-01-13,23.7338,23.155
2022-01-14,23.3918,22.911
2022-01-18,23.3223,23.487
2022-01-19,23.716,24.226
2022-01-20,23.8977,24.711
2022-01-21,23.7277,24.314
2022-01-24,23.5928,23.795
2022-01-25,23.8378,23.896
2022-01-26,23.7218,23.807
2022-01-27,23.3494,22.673
2022-01-28,22.9995,22.302
2022-01-31,22.984,22.395
2022-02-01,23.0281,22.596
2022-02-02,23.3466,22.711
2022-02-03,23.1494,22.375
2022-02-04,23.1081,22.475
2022-02-07,23.0554,23.076
2022-02-08,23.2403,23.195
2022-02-09,23.7388,23.336
2022-02-10,23.9018,23.519
2022-02-11,23.7122,23.366
2022-02-14,24.0725,23.845
2022-02-15,23.6898,23.338
2022-02-16,23.8919,23.601
2022-02-17,24.1977,23.874
2022-02-18,24.2075,23.991
2022-02-22,24.4809,24.311
2022-02-23,24.4472,24.555
2022-02-24,24.6178,24.686
2022-02-25,24.1064,23.997
2022-02-28,24.3386,24.361
2022-03-01,24.9045,25.534
2022-03-02,25.0117,25.183
2022-03-03,25.4483,25.205
2022-03-04,25.9104,25.782
2022-03-07,25.6698,25.713
2022-03-08,25.8077,26.888
2022-03-09,25.2853,25.757
2022-03-10,25.4022,26.202
2022-03-11,25.3596,26.106
2022-03-14,25.0906,25.244
2022-03-15,25.0109,25.123
2022-03-16,24.856,24.67
2022-03-17,25.2282,25.584
2022-03-18,25.1817,25.055
2022-03-21,25.1778,25.282
2022-03-22,24.9661,24.885
2022-03-23,25.2193,25.17
2022-03-24,25.1318,25.9
2022-03-25,25.0216,25.595
2022-03-28,25.0348,25.176
2022-03-29,24.8286,24.716
2022-03-30,24.8947,25.103
2022-03-31,24.9965,25.121
2022-04-01,24.6636,24.642
2022-04-04,24.8603,24.584
2022-04-05,24.9271,24.528
2022-04-06,24.8887,24.455
2022-04-07,24.8539,24.733
2022-04-08,24.9988,24.819
2022-04-11,24.7958,24.978
2022-04-12,25.116,25.725
2022-04-13,25.0136,26.02
2022-04-14,24.9869,25.69
2022-04-18,25.1639,26.14
2022-04-19,24.9952,25.391
2022-04-20,25.0067,25.27
2022-04-21,25.1049,24.621
2022-04-22,24.8886,24.257
2022-04-25,23.9545,23.668
2022-04-26,23.9037,23.542
2022-04-27,23.7032,23.458
2022-04-28,23.7075,23.129
2022-04-29,23.6385,23.04
2022-05-02,22.9676,22.544
2022-05-03,22.867,22.621
2022-05-04,22.7227,22.362
2022-05-05,22.41,22.4
2022-05-06,22.5831,22.325
2022-05-09,22.6938,21.782
